Job Title,Company,Salary,Job Description,Work Location,Department,Employment Type,Shift,Experience,Education,Avg_Salary
Front-end Developer (React.js),Vivify Technocrats,₹10000- ₹12000,NaN,"No 3&4 No 2B, 1st Floor, Mugappair Rd, Padi, Chennai, Tamil Nadu 600050",Department,Employment type,Shift,Freshers only,Graduate,11000
ASP.NET Developer,S Soft Solutions,₹10000- ₹18000,"We’re looking for a proficient ASP.NET developer to join us at SSoft Solutions. We are seeking a .NET developer to build software using the languages and technologies of the .NET framework. In this role, you will be instrumental in designing, coding, testing, and maintaining software applications that drive our organization’s operations. As a key member of our software development team, you will also be responsible for developing back-end components to support our front-end software developers., Required skills and qualifications:, Required skills and qualifications Bachelor’s degree in Computer Science, Information Technology, or a related field., Fresher and 1 years of experience as a .NET developer or software developer., Strong understanding of the .NET framework, C#, and object-oriented programming., Proficiency in database design and SQL., Experience with web development technologies, including ASP.NET(Frame Work), Detail-oriented with a focus on delivering high-quality and efficient software solutions., Efficient communication skills and the ability to work collaboratively within a team., Strong knowledge of software development best practices and design patterns., The candidate must be from Bhopal.","HB-64, Abhiruchi Parisar, Old Subhash Nagar Colony, Govindpura, Bhopal, Madhya Pradesh 462023, India",Department,Employment type,Shift,Any experience,Graduate,14000
Software Developer,Amit Buildcone,₹25000- ₹35000,"About the Role:We are looking for a, Software Engineer (Contract), to work with our client on a [short/long]-term project involving [brief project description – e.g., web application development, system integration, backend services]. You will collaborate with the client’s internal team to deliver high-quality, scalable software solutions on time., Responsibilities:Collaborate with cross-functional teams to understand project requirements., Design, develop, test, and deploy software applications or features., Write clean, maintainable, and well-documented code., Troubleshoot and debug applications., Participate in code reviews and contribute to technical documentation., Ensure high performance, security, and responsiveness of applications., Communicate project progress and blockers with stakeholders., Requirements:Proven experience as a Software Engineer or Developer., Proficiency in [JavaScript, Python, Java, etc. – customize based on tech stack]., Experience with [React, Node.js, Django, .NET, etc. – add frameworks/tools as needed]., Familiarity with RESTful APIs, version control (Git), and cloud services ([e.g., AWS, Azure])., Strong problem-solving skills and attention to detail., Excellent communication and collaboration skills.",B-7/71-72 GROUND FLOOR SECTOR 3 ROHINI DELHI 110085,Department,Employment type,Shift,Any experience,Graduate,30000
System Administrator,Awign,₹15000- ₹18000,"Job Title:, System Operator, Location:, Multiple Locations (Field Work – Nearby Centers), Employment Type:, Full-Time, Job Overview: We are looking for a, System Operator, to ensure smooth technical operations at exam centers. The ideal candidate must be tech-savvy, well-groomed, and capable of managing system-related tasks, including monitoring exam networks and verifying security protocols., Key Responsibilities: Ensure systems are in optimal working condition and conduct regular checks., Stay in the server room except when assisting Registration Managers/Invigilators., Verify and monitor CCTV cameras at critical locations, including emergency exits., Conduct system tests before exams and share results with stakeholders., Configure and set up the, Primary and Backup servers, using appropriate credentials., Download and prepare necessary data 3 hours before the exam start time., Enter Drive passwords at the designated time and ensure data integrity., Perform staff verification and actively monitor the exam network for potential issues., Requirements:, Age:, 25 years & above., Education:, Graduate (Non-Engineering background)., Computer Skills:, Basic computer knowledge is required., Experience:, Open to both freshers and experienced candidates., Gender:, Open to both Male & Female candidates., Work Mode:, Full-time with field visits to nearby centers., Behavioral Traits:, Well-groomed and well-behaved to maintain professional standards., Working Hours:, 6:00 AM – 6:00 PM, (Flexible based on exam schedules)., If you are detail-oriented, tech-savvy, and ready for fieldwork, apply now and be a part of this crucial role in exam operations!","Suryapet, Telangana, India",Admin / Back Office / Computer Operator,Full Time,Day Shift,Any experience,Graduate,16500
Database Administrator,Sujata Computers,,"Database Administrator L1, Qualifications, Skill Set, B. Tech/ B.E/ MCA/ equivalent, Required Experience:, Freshers can apply., Need to be conversant with, structured query language (SQL), and relevant database. technologies (whether proprietary or open source)., Understand coding and service management., Roles & Responsibilities:, Creating and maintaining database standards and policies., Supporting database design, creation, and testing activities., Managing the database availability and performance,, including incident and problem, management., Administering database objects to achieve optimum utilization., Defining and implementing event triggers that will alert on potential database performance or integrity issues., Performing database housekeeping, such as tuning, indexing, etc., Monitoring usage, transaction volumes, response times, concurrency levels, etc., Identifying reporting, and managing database security issues, audit trails, and forensics., Designing database backup, archiving, and storage strategy.",New Delhi,IT & Information Security,Full Time,Day Shift,Freshers only,NaN,17500
Junior System Administrator (DevOps),Ontash India Technologies,,"Junior System Admin (DevOps), Job Responsibilities, Setup desired production and development servers for new projects, Manage an automated deployment to Production and development servers using Git, Jenkins and Docker., Identify issues and apply proper solutions, thus maintain an error-free environment in all types of servers, Install, upgrade, configure, maintain and troubleshoot both windows and Linux machines., Secure and load balance websites using Nginx and SSL., Monitor servers and websites using Nagios and Logserver., Manage the LAN/WAN systems in the office., Hardware support - Procuring, Assemble, Inspect, and Troubleshoot., ﻿, Desired skills, Proficiency in Linux (Ubuntu / Centos) and Windows (7, 8, 10 and server 2012, 2016), AWS, Azure, and private clouds (OpenStack/Cloudstack), Configuration of Apache/Nginx/MySQL/Nagios/Logstash, Good knowledge about SSH, SSL, Samba, FTP, SQL, Git, Jenkins, and docker, Knowledge in computer hardware and the ability to assemble and troubleshoot system problems at the hardware level",Kozhikode,IT & Information Security,Full Time,Day Shift,Freshers only,NaN,17500
Data Privacy and Ethics Executive,Kpmg India Services Llp,,"Executive - CSG-Data Privacy and Ethics, Description, About KPMG in India, KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada., KPMG entities in India offer services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focused and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment., NA, Equal employment opportunity information, KPMG India has a policy of providing equal opportunity for all applicants and employees regardless of their color, caste, religion, age, sex/gender, national origin, citizenship, sexual orientation, gender identity or expression, disability or other legally protected status. KPMG India values diversity and we request you to submit the details below to support us in our endeavor for diversity. Providing the below information is voluntary and refusal to submit such information will not be prejudicial to you., Qualifications, Graduation","Bangalore, Bangalore - EGL Pebble Beach -KPMG, EGL Pebble Beach -KPMG, Bangalore, Karnataka, India",Risk Management & Compliance,Full Time,Day Shift,Any experience,NaN,17500
PL/SQL Developer,Zeki Software Solutions,,"PL/SQL Developer, Experience, 0 - 3 Years, Basic understanding of maintaining Database., Query Optimization and tuning of existing database schemas as well as database views., Skills in area of capacity planning and physical database design., Thorough understanding of Data warehousing concepts., Skills, Oracle, MySql, PLSql",Mumbai,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Data Management Executive,Pankaj V Vora Associates LLP,₹15000- ₹40000,"• SHOULD BE WELL VERSED IN ENGLISH COMMUNICATION SKILLS • CALLING WILL BE A PIVOTAL PART OF THE JOB. • Creating and maintaining a database of client & properties database in CRM. • Adding, managing & updating new & existing properties, contact & requirements in CRM. • Coordinating with clients/ associates, for their properties from CRM • Updating the same on CRM & online portals such as magicbricks and 99 acres. • Coordinating with inspection team & organizing inspections for clients. • Ensuring assigned leads are converted into customer visits for inspection and following up with the leads. • Will be responsible for coordinating & calling clients, associates from database and scheduling, updating properties on regular intervals. • Ability to work within a team as well as independently","Elphinstone House, 17 Murzban Road, Fort, Mumbai",Department,Employment type,Shift,Any experience,Graduate,27500
Data Entry / MIS Executive,Bhawar Sales Corporation,₹10000- ₹13500,"RESPONSIBILITIES, MEASURES, Key Success Measures:  % orders shipped on time & Billing, Accuracy, 1., Database Maintenance, a.    Master, Database File Maintenance, b.    Transaction, Database File Maintenance, c.    Housekeeping, ·, 100% accurate and updated entries in, Item Master, Price Master & Customer Master, ·, 100% compliance on step-by-step, procedure in, Transaction File, Maintenance, ·, 100% of reports and data generated in, IDS are accurate, updated and complete., ·, 100% compliance in doing posting &, back-up procedures, ·, Maintains historical transactions as, per requirements, 2.    Purchase, Order on P&G, ·, 100% MAS/OSDO orders entered by, 1730hrs, ·, Updates Van Load Guide on suggested PO, ·, Uses suggested PO report module in IDS, 3.    Total order management, ·, 100% accurate orders, invoices and, credit memo, 4.   Accounts, Receivables - Remittance Processing, ·, 100% accurate and updated entries all, remittances, 5.  Decision Support and Information Usage, a., Postings in P&G Customized Reports, b., Reports Generation/Usage, ·, 100% of transactions are posted in, P&G Customized, Reports, ·, 100% accuracy of reports generated, ·, On-time submission of OPI data in, P&G, 6.    Maintain, & support IT infrastructure, a.    Maintains, printers & PCs, b.    Ensures, all peripherals & consumables, are available, ·, Zero downtime of PCs & printers, ·, Printer stationery, ribbons, cartridge, tapes & floppies, are available all the time, 7.    Daily System Maintenance Activities, ·, Posting, Backup, Virus Check done, daily, Shift timing will be 2pm  to 10pm","Navins WSS Towers, CPM Street, Pudupet, Komaleeswaranpet, Egmore, Chennai, Tamil Nadu, India",Department,Employment type,Shift,Any experience,Graduate,11750
Backend Engineer,Level AI,,"Backend Engineer, Competencies, :, Python, Django, Relational database understanding (viz: PostgreSQL, SQL), ETL, Database design, Strong experience in designing REST APIs, Cache, Redis, Celery, CI/CD, GCP, Kubernetes and Docker., Responsibilities:, Innovate, build, and invent on the behalf of our customers. Plan, execute and maintain entire products/features which millions of customers will experience., Ability to design and code the right solutions starting with broadly defined problems., Drive best practices and engineering excellence., Work with other team members to develop the architecture and design of new and current systems., Work in an agile environment to deliver a high-quality Product., Requirements, :, Qualifications: B.E./B.Tech./M.E./M.Tech. from Tier-I engineering colleges with background in backend technology., A minimum of 0–1 years of solid backend project experience, as well as an relevant backend engineering internship with technolgy company is a bonus., proficiency in a minimum of one advanced language, ideally Python., Django experience is highly desirable., strong knowledge in data management, REST API design, and relational databases., exceptional ability to solve problems., Possess a very solid grasp of the fundamental concepts in computer science, including databases, object-oriented design, data structures, and algorithms.",Noida,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Junior Quality Analyst,EXL SERVICES,,"Executives, Position Title, Responsibility Level:, Junior Quality Analyst, A1, Employment Type:, Permanent, Location:, Chennai, Job Summary, We are seeking a motivated and detail-oriented Junior Quality Analyst to join our growing team. In this role, you will be responsible for designing, executing a variety of software testing tasks, and reporting on test plans to ensure the quality and functionality of our software applications. You will work collaboratively with developers, product managers, and other QA analysts to identify, report bugs and resolve issues, ultimately contributing to the delivery of high-quality software products., Essential Functions:, Participate in the software development lifecycle (SDLC) with a focus on the testing phase., Perform functional, regression, and performance testing of software applications to ensure they meet quality standards and requirements., Develop and execute test plans, test cases, and test scripts based on project specifications and user stories., Conduct manual and exploratory testing to identify software defects and functionalities that deviate from requirements., Conduct database testing using SQL queries to validate data integrity and verify the accuracy of application functionality., Collaborate with developers, product managers, and other stakeholders to identify and resolve software defects in a timely manner., Document and report software defects using issue tracking tools, and assist in their resolution through effective communication and follow-up., Maintain accurate and up-to-date test documentation., Actively participate in Agile Scrum ceremonies, including sprint planning, daily stand-ups, sprint reviews, and retrospectives., Stay updated on industry best practices and emerging trends in software quality assurance and testing methodologies., (Good to Have:) Gain experience with API testing tools and methodologies., Collaboration and Communication:, Communicate effectively with team members and stakeholders to provide updates on testing progress and raise any concerns or blockers., Collaborate with cross-functional teams, including developers, business analysts, and project managers, to ensure seamless coordination and alignment of testing activities., Requirements:, 0 -2  years of experience in software testing, with a focus on web application testing., Develop and execute test cases, scripts, and plans based on project requirements and specifications., Basic understanding of SQL for database testing and validation., Experience with API testing tools and methodologies (e.g., Postman, SOAPUI) is beneficial but not required., Strong analytical and problem-solving skills with a keen attention to detail., Excellent oral and written communication skills for effective collaboration and documentation., Ability to work in a fast-paced Agile Scrum environment and adapt to changing priorities., Proactive attitude with a willingness to learn and grow in the field of quality assurance., Familiarity with defect tracking systems, test management tools, and Agile project management tools (e.g., JIRA)., ISTQB or similar certification in software testing is desirable but not required., Skills, Technical Skills, Required Skills:, Manual testing, System testing, Functional testing, Integration testing, Database testing, Strong SQL knowledge, Defect lifecycle, Test Case, Test Strategy & Test Plan Documentation, Python Programming, Playwright automation., Tools:, Defect Management Software JIRA, Fogbugz., Skills Good to Have but not mandatory:, US Healthcare Knowledge, API testng, Process Specific Skills, Delivery Domain –, Product Testing – Including Web application Testing, Database Integration and Regression Testing, Business Domain -, US Healthcare Insurance & Payer Analytics, Soft Skills, Understanding of Healthcare business vertical and the business terms within, Good analytical skills., Strong communication skills - oral and verbal, Should be able to function as an Individual Contributor., Working Hours, Shift – 12 PM to 9 PM, Will be required to extend as per project delivery requirement., Education Requirements, Bachelor’s degree in Computer Science, Engineering, or related field.",Chennai,Quality Assurance,Full Time,Day Shift,Any experience,NaN,17500
Operations Processor,Wells Fargo India Solutions Pvt Ltd,,"Associate Operations Processor, About this role:, Wells Fargo is seeking an Associate Operations Processor., The DDR team reviews Community/Retail Bank, Wealth Management & Wholesale Deposit account documents for missing signatures, supporting documentation & information related to title, relationship and tax certification to ensure policy, regulatory and legal requirements are met., In this role, you will:, Perform general clerical operations tasks that are routine in nature, Receive, log, batch, and distribute work, File, photocopy, and answer phones, Prepare and distribute incoming and outgoing mail, Regularly receive direction from supervisor and escalate questions and issues to more experienced roles, Work under close supervision following established procedures, Required Qualifications:, 0-6 months of operations support experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education, Desired Qualifications:, Able to multi-task to accomplish tasks effectively., Able to interpret the documents or the requests received., Strong verbal & written communication skills, Attention to detail., Excellent data entry skills, Ability to work quickly & accurately while maintaining acceptable standards of workmanship., Quick learner with the ability to retain high volume of information., Ability to recognize and escalate any discrepancies identified or noticed while processing., Flexible with working in US operational hours i.e. India night shifts, ​, Work Schedule:  Our hours of operation are 5:30 p.m. to 2:30 a.m. - 40 hours per week with a rotating late-night schedule within the team., Posting End Date:, 13 Apr 2025, *Job posting may come down early due to volume of applicants., We Value Diversity, At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law., Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit’s risk appetite and all risk and compliance program requirements., Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected characteristic., Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process., Applicants with Disabilities, To request a medical accommodation during the application or interview process, visit, Disability Inclusion at Wells Fargo, ., Drug and Alcohol Policy, Wells Fargo maintains a drug free workplace.  Please see our, Drug and Alcohol Policy, to learn more., Wells Fargo Recruitment and Hiring Requirements:, a. Third-Party recordings are prohibited unless authorized by Wells Fargo., b. Wells Fargo requires you to directly represent your own experiences during the recruiting and hiring process.","Chennai, India",Admin / Back Office / Computer Operator,Full Time,Day Shift,Freshers only,NaN,17500
Data Entry Operator,N Soft India Services,₹18000- ₹20000,Data operator,Thrissur,Department,Employment type,Shift,Any experience,12th Pass,19000
Data Entry Operator,TSS Consultancy,₹15000- ₹15000,"Job Responsibilities:, Checking data accuracy and image cropping., Validating and taking decisions for Probable match cases., Ensuring data accuracy and efficiency at all times., Maintaining data entry logs and reports., Following data entry protocols and guidelines to ensure consistency., Required Skills:, Typing skills with accuracy., Basic computer operating skills., Problem-solving and analytical skills., Ability to adapt and learn about changing trends., Attention to detail.","150 ring road , Near Balaji Hall, 4th floor, 408- RK Supreme.",Department,Employment type,Shift,Any experience,Graduate,15000
Mobile App Developer,Pyramids Properties & Flatopedia,₹40000- ₹50000,we are lookig for freelancers.,"Boat Club Road, Bund Garden, Sangamvadi, Pune, Maharashtra, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,45000
Mobile App Developer,Paltan Shopping Mall Private Limited,₹9000- ₹30000,NaN,"CHATNAG ROAD MOD Jhusi, Prayagraj, Uttar Pradesh, India",Department,Employment type,Shift,Any experience,Graduate,19500
Software / Web Developer	Intern,Namrata Universal,₹11000- ₹27000,"Only Interested candidates around Delhi-NCR can apply, Note - its 6 Months internship. Please do not apply if you cannot be available for face to face interview or are outside Delhi NCR Responsibilities of candidates include: • designing and implementing applications • developing and testing software • resolving technical issues that arise • fixing bugs, Also required 5 intern for python Intern","Raj Nursing Home & Hospital, Shalimar Garden Main Road, Shalimar Garden Main B-block, Block A, Shalimar Garden, Ghaziabad, Uttar Pradesh, India",Software Engineering,Full Time,Day Shift,Freshers only,Graduate,19000
Backend Web Developer,Brightnest Digital,₹20000- ₹22000,NaN,"Yerwada, Pune, Maharashtra, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,21000
Full-stack Developer,Vigor Enterprise,₹20000- ₹35000,"Hybrid mode, Design, develop, and maintain web applications using React.js and Next.js., Implement server-side rendering (SSR) and static site generation (SSG) with Next.js for optimal performance., Design and manage relational databases using MySQL, ensuring efficient data retrieval and manipulation., Create and optimize RESTful APIs or GraphQL endpoints to facilitate communication between frontend and backend., Collaborate with UX/UI designers to ensure applications meet user needs and provide an excellent user experience., Debug and resolve technical issues to maintain high application reliability and performance., Write clean, modular, and reusable code following best practices and coding standards., Perform database schema design, migrations, and optimizations for scalability and performance., Conduct code reviews and participate in team meetings to improve code quality and team efficiency., Stay up-to-date with the latest developments in React, Next.js, and database technologies., Required Skills and Qualifications:, Proven experience with React.js and Next.js., Strong knowledge of JavaScript and TypeScript (preferred)., Proficiency in MySQL: schema design, queries, indexing, and optimization., Experience with server-side programming and integrating MySQL with Node.js or similar backend frameworks., Familiarity with version control systems like Git., Understanding of web performance optimization techniques., Knowledge of API integration and state management libraries such as Redux, Context API, or similar., Why Join Us?, Opportunity to work on cutting-edge technologies and challenging projects., Collaborative and inclusive work environment., Competitive salary and benefits package.",Software Engineering,Frontend Development,Day Shift,NaN,Any experience,Graduate,27500
Full-stack Developer,Kabir Hospital Private Limited,,"We are looking for a skilled and self-driven developer who can take raw company data, build automation pipelines, integrate AI tools (like ChatGPT, GPT APIs, Excel AI, etc.), and deliver intelligent business insights. This is a milestone-based project, not a salaried position., Key Responsibilities:, • Develop scripts and tools to collect and structure company data from various sources (Excel, CRM, ERP, etc.)., • Integrate AI tools/APIs to process data and generate actionable reports., • Create dashboards or simple interfaces to visualize AI analysis., • Automate repetitive business processes using AI., • Maintain code quality, documentation, and version control., Requirements:, • Strong programming skills (Python preferred)., • Experience with APIs, especially OpenAI/ChatGPT or other AI platforms., • Familiarity with Excel/Google Sheets automation., • Ability to understand business logic and convert it into code., • Excellent communication and delivery discipline., Payment:, • Payment will be made based on clearly defined milestones (to be discussed after shortlisting)., • Long-term project opportunities available for high performers.",Software Engineering,Software Development,Day Shift,NaN,Any experience,Graduate,17500
React Developer,Amazing Web Solutions,₹10000- ₹20000,Responsibilities of candidates include: • designing and implementing applications • developing and testing software • resolving technical issues • fixing bugs,"E-3, Arera Colony, Bhopal, Madhya Pradesh, India",Department,Employment type,Shift,Any experience,Graduate,15000
ASP.NET Developer,S Soft Solutions,₹10000- ₹18000,"We’re looking for a proficient ASP.NET developer to join us at SSoft Solutions. We are seeking a .NET developer to build software using the languages and technologies of the .NET framework. In this role, you will be instrumental in designing, coding, testing, and maintaining software applications that drive our organization’s operations. As a key member of our software development team, you will also be responsible for developing back-end components to support our front-end software developers., Required skills and qualifications:, Required skills and qualifications Bachelor’s degree in Computer Science, Information Technology, or a related field., Fresher and 1 years of experience as a .NET developer or software developer., Strong understanding of the .NET framework, C#, and object-oriented programming., Proficiency in database design and SQL., Experience with web development technologies, including ASP.NET(Frame Work), Detail-oriented with a focus on delivering high-quality and efficient software solutions., Efficient communication skills and the ability to work collaboratively within a team., Strong knowledge of software development best practices and design patterns., The candidate must be from Bhopal.","HB-64, Abhiruchi Parisar, Old Subhash Nagar Colony, Govindpura, Bhopal, Madhya Pradesh 462023, India",Department,Employment type,Shift,Any experience,Graduate,14000
Software Tester,Web Axis Software Services,₹15000- ₹40000,Automated and manual testing,Software Engineering,Software Quality Assurance and Testing,Day Shift,NaN,Freshers only,Graduate,27500
Flutter Developer,BM Digital Utlization,₹0- ₹15000,"Job Description:, We are looking for a talented, Flutter Developer, to join our team. The ideal candidate should have a passion for building high-quality mobile applications for, Android     and iOS, using Flutter., Key Responsibilities:, Develop and maintain mobile applications using Flutter., Collaborate with designers and backend developers to create seamless user experiences., Write clean, maintainable, and efficient code., Integrate REST APIs and third-party services., Debug and resolve technical issues and performance bottlenecks., Stay updated with the latest trends in mobile app development., Required Skills:, Proficiency in, Flutter and Dart, ., Experience with, Firebase, REST APIs, and third-party libraries, ., Strong understanding of, UI/UX principles, ., Knowledge of version control systems like, Git/GitHub, ., Good problem-solving and debugging skills., Preferred Skills (Optional):, Experience with, State Management (Provider, Riverpod, Bloc, etc.), ., Knowledge of, Android/iOS native development, ., Understanding of cloud-based services and deployment.","B41, B Block, Sector 63, Noida, Uttar Pradesh 201301",Department,Employment type,Shift,Freshers only,12th Pass,7500
Flutter Developer,Elastic Run,₹60000- ₹149999,"JD :, A Flutter developer is a professional who designs and builds mobile apps for Android and iOS using Google's Flutter UI toolkit:, Responsibilities, Flutter developers design and build high-quality, scalable mobile apps for multiple devices and platforms. They work with designers, developers, and product managers to create and iterate on new features., Skills, Flutter developers should understand the mobile app development process, including navigation and handling different screen sizes. They should also know how to adjust and style pre-built UI components to align with the desired design., Tools, Flutter is a software development kit (SDK) that allows developers to create native interfaces for iOS and Android using a single codebase. Pub.dev is the official package manager for Flutter and Dart packages.","Pune, Maharashtra, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,104999
Software Developer,Amit Buildcone,₹25000- ₹35000,"About the Role:We are looking for a, Software Engineer (Contract), to work with our client on a [short/long]-term project involving [brief project description – e.g., web application development, system integration, backend services]. You will collaborate with the client’s internal team to deliver high-quality, scalable software solutions on time., Responsibilities:Collaborate with cross-functional teams to understand project requirements., Design, develop, test, and deploy software applications or features., Write clean, maintainable, and well-documented code., Troubleshoot and debug applications., Participate in code reviews and contribute to technical documentation., Ensure high performance, security, and responsiveness of applications., Communicate project progress and blockers with stakeholders., Requirements:Proven experience as a Software Engineer or Developer., Proficiency in [JavaScript, Python, Java, etc. – customize based on tech stack]., Experience with [React, Node.js, Django, .NET, etc. – add frameworks/tools as needed]., Familiarity with RESTful APIs, version control (Git), and cloud services ([e.g., AWS, Azure])., Strong problem-solving skills and attention to detail., Excellent communication and collaboration skills.",B-7/71-72 GROUND FLOOR SECTOR 3 ROHINI DELHI 110085,Department,Employment type,Shift,Any experience,Graduate,30000
Software Developer,ASPSnippets,₹5000- ₹10000,"ASP.Net Engineer, 1. Will have to primarily work on ASP.Net technology., 2. Must be able to write necessary SQL Stored procedures and queries., 3. Must be familiar with C# and OOPs concepts., 4. Knowledge of Client side technologies like JavaScript, jQuery would be an added advantage.","G-110, Shagun Arcade, Gen. A.K. Vaidya Marg, Dindoshi, Near Oberoi Mall, Malad (East), Mumbai-400097",Department,Employment type,Shift,Freshers only,Graduate,7500
Backend Developer,LearnKaro Education Technologies Private Limited,₹20000- ₹40000,"We are hiring a, Backend Python Developer, to join our fast-paced, innovation-driven product team. As part of our, technology division, , you will be building scalable backend systems to power, our trading automation platform, education delivery systems, and analytics infrastructure, ., Required Skills:✅ Strong proficiency in, Python, ✅ Frameworks:, FastAPI, Django, Flask (any), ✅ Databases:, MongoDB, PostgreSQL, MySQL, ✅ API Development & Integration, ✅ Familiarity with, Docker, , GitHub, and Linux-based environments, ✅ Problem-solving attitude with understanding of system performance, ✅ Optional but Preferred: Experience with, Broker APIs, like DHAN, Kite, or Upstox, Key Responsibilities are:, Backend Development:, Design, develop, and maintain scalable backend services using, Python, ,, FastAPI, , or, Django, ., Build, RESTful APIs, and data pipelines to support web & mobile applications., Write clean, efficient, and reusable code with strong focus on performance., 📊 Database & Data Handling:, Integrate and optimize databases like, MongoDB, ,, PostgreSQL, , or, MySQL, ., Ensure data accuracy, indexing, and fast query responses., Manage data models, migrations, and versioning., ⚙️ System Architecture:, Participate in designing, microservices-based architecture, for real-time applications., Implement, scalable and secure backend solutions, for large concurrent users., 🔄 API Integrations:, Integrate with third-party APIs including, trading platforms (DHAN, Zerodha, etc.), , CRMs, and other services., Handle real-time data exchange using, WebSockets and API polling, ., 🚨 Security & Compliance:, Apply, best practices in authentication, authorization, and encryption, ., Ensure compliance with, SEBI regulations, and data privacy norms for trading modules., 🛠️ DevOps & Testing:, Work with, Git, Docker, and CI/CD pipelines, for streamlined deployments., Write, unit tests, perform debugging, , and ensure production-readiness of applications.","24, Kamal Colony Delhi Road Near Dominos Pizza, Kamal Colony, Avas Vikas Colony, Dara Shivpuri, Saharanpur, Uttar Pradesh 247001, India",Department,Employment type,Shift,Any experience,Graduate,30000
Wordpress Developer,Excent Solutions,₹12000- ₹16000,"We are looking to hire a skilled WordPress developer to design and implement attractive and functional websites for our clients. You will be responsible for both back-end and front-end development including the implementation of WordPress themes and plugins as well as site integration and security updates., Responsibilities:, Designing and building the website front-end., Creating the website architecture., Designing and managing the website back-end including database and server integration., Generating WordPress themes and plugins., Conducting website performance tests., Troubleshooting content issues., Conducting WordPress training with the client., Monitoring the performance of the live website., WordPress Developer Requirements:, Bachelor’s degree in computer science or a similar field., Proven work experience as a WordPress developer., Knowledge of front-end technologies including CSS3, JavaScript, HTML5, jQuery., Should have knowledge of Figma and Shopify.","Bestech Business Tower, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,14000
PHP Developer,Raghwendra Web Services,₹5000- ₹10000,"We are looking for a PHP Developer who is dedicated to working, innovative, writes code . You will be a part of the creative team that is responsible for all aspects of the ongoing web development from the initial specification, to developing, testing and launching. Your Responsibilities -Utilise established development tools, guidelines and conventions including but not limited to PHP, Laravel, Mysql, HTML, CSS, JavaScript, Jquery and Ajax and bootstrap -Prepare and maintain code for various PHP applications and resolve any defects in systems. -Prepare test-based applications for various PHP applications. - Enhance existing systems by analysing business objectives, preparing an action plan, and identifying areas for modification and improvement -Manage defect tracking systems and resolve all issues and prepare updates for systems. -Investigate and develop skills in new technologies -Create technical specifications and test plans -Monitor everyday activities of the system and provide the required support Skills: PHP, Mysql, HTML, CSS, JavaScript, Jquery and Ajax and bootstrap Preferred Skills: Laravel","Khirki Extension, Malviya Nagar, New Delhi, Delhi 110017, India",Department,Employment type,Shift,Freshers only,Graduate,7500
Java Developer,Krishna Computer Sales Service,₹33000- ₹38000,NaN,"Wagholi, Pune, Maharashtra, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,35500
Web Developer,MIT Infocom India,₹12000- ₹15000,NaN,"SLT Waterfront, Moulipara, Telibandha, Raipur, Chhattisgarh, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,13500
Web Developer,Brilliant Educational And Training Institute,₹0- ₹8000,NaN,"625, Franco Road, Sector 55, Phase 1, Sector 54, SAS Nagar, Punjab, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,4000
